id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
475,МЕЛЬНИЦА,MILL,гьобу,hоbu,,гьобул,гьобубади,n,вудив гьольа эгу - он на мельнице,390,0,0,"Механизм и соответствующая постройка для перемалывания зерна в муку. На Кавказе, как правило, водяная мельница.",На мельнице мелят муку.
476,МЯСО,MEAT,рикьи,riʟʼi,,рикьил,-,n,,256,101,54,"Мясо как пищевой продукт. Отличать от наименований конкретных видов мяса (из разных частей туши, от разных животных и т. п.) и от маркированных слов вроде ‘плоть’.  (GLD)",1. Это мясо какого животного? (GLD) 2. Он достал/принес много мяса. (GLD) 3. Он съел все мясо и весь жир. (GLD)
477,КОЛБАСА,SAUSAGE,бецӏуб бакьи,becʼub baʟʼi,,бецӏуб бакьилъил,рецӏуре бакье,n,,0,0,0,"Кусок кишки животного, заполненный мясом и готовый к употреблению.",1. Колбасу делают из кишки и мяса. 2. Колбасу жарят.
478,БУЛЬОН,BROTH,гьагӏу,haʕu,,гьагӏул,гьагӏубади,n,,258,0,0,"Вода с мясным содержанием, остающаяся после варки мяса.","1. Когда мясо сварили, остаётся бульон. 2. После хинкала едят бульон."
479,ХИНКАЛ,KHINKAL,хинкӏя,χinkʼʲa,,хинкӏул,хинкӏе,n,,259,0,0,Традиционное блюдо из теста.,"1. Традиционные дагестанские блюда — хинкал, чуду, курзе. 2. Чабаны всегда готовят хинкал."
480,ВИНОГРАД,GRAPE,цӏебила,cʼebila,,цӏебилал,-,n,,218,0,0,"Маленький, круглый съедобный плод с гладкой кожей, обычно фиолетового, красного или зелёного цвета, который растёт гроздьями на лозах. (Concepticon)",1. На равнине выращивают виноград. 2. Из винограда делают вино.
481,ОРЕХ ЛЕСНОЙ,HAZELNUT,парсцӏулакьу,parscʼulaʟʼu,,парсцӏулакьулъил,парсцӏулакьуди,n,,0,0,0,Орех любого кустарника рода Лещина (Corylus).,"1. На равнине много ореховых деревьев. 2. В горах растут грецкие орехи, на равнине — лесные."
482,ОРЕХ ГРЕЦКИЙ,WALNUT,цӏулакьу,cʼulaʟʼu,,"цӏулакьулъил, цӏулакьул",цӏулакьуди,n,,226,0,0,Орех дерева Juglans regia.,"1. В горах растут грецкие орехи, на равнине — лесные. 2. Хинкал делают с грецкими орехами."
483,УРБЕЧ,URBECH,урба,urba,,урбадал,урбабади,n,,0,0,0,"Традиционное сладкое кушанье, масса из размельчённых семян или орехов.",В кашу кладут урбеч.
484,ЖИР (КУЛИНАРНЫЙ ПРОДУКТ),GREASE,гьани,hani,,гьанил,-,n,,257,43,25,"Общее слово для животного жира как продукта, используемого в хозяйстве. Отличать от ‘растительного жира’, ‘масла’ (в т. ч. жидкого) там, где в языке есть соотв. дифференциация, а также от нутряного жира и специально обработанного или приготовленного жира. (GLD)",1. Мясо и жир можно есть. (GLD) 2. На дно сковородки мажут жир.
485,СЫЧУГ,MAW,цӏолиб,cʼоlib,,цӏолибул,цӏолибди,n,,62,0,0,Отдел желудка жвачных животных. Используется в приготовлении сыра как загуститель.,В сыр кладут сычуг.
486,ПОТРОХА,GIBLETS,бакӏвалкӏачи,bakʼʷalkʼači,,бакӏвалкӏачилъил,бакӏвалкӏачибади,n,,0,0,0,"Внутренности животного, используемые как пищевой продукт.",1. У овцы вытащили внутренности. 2. Потроха жарят на сковородке.
487,СОЛЬ,SALT,цӏцӏан,cʼːan,,цӏцӏанлъил,цӏцӏанди (сорта),n,,261,132,104,"Соль как натуральный продукт. Следует отличать от покупной соли, а также от названий мест, содержащих соль (‘соляное озеро’, ‘лизунец’ и т. п.). (GLD)",1. Людям нужно есть соль. (GLD) 2. Этот ребенок хочет соли. (GLD) 3. Вот белая соль. (GLD)
488,МЁД,HONEY,гьунцӏцӏи,huncʼːi,,гьунцӏцӏал,гьунцӏцӏибади (сорта),n,,263,0,0,"Сладкое, текучее вещество, которое делают пчёла из нектара. (Concepticon)","1. Пчёлы дают мёд. 2. Мёд сладкий. 3. Мёд можно есть, пчелиный воск — нет."
489,САХАР,SUGAR,чакар,čakar,,чакарил,чакарди,n,,0,0,0,"Сладкое сыпучее или кристаллическое вещество, используемое для улучшения вкуса продуктов.",1. Я выпил чай с сахаром. 2. Сахар сладкий.
490,МОЛОКО,MILK (N.),щю,šːʲu,,щюл,-,n,,250,0,0,"Белая жидкость, производимая молочными желёзами для кормления детёнышей млекопитающих. При наличии различных слов вводить слово для коровьего молока.",1. Корова даёт молоко. 2. Из молока делают сыр.
491,ДОИТЬ,MILK (V.),кьаледу,ʟʼardegu,кьарда эгу (кьардегу),кьали,кьала,v,,119,0,0,Получать молоко от млекопитающего (в особенности коровы). (Concepticon),"1. Мама подоила корову. 2. Чтобы получить молоко, доят коров."
492,СЫР,CHEESE,чӏантӏур,čʼantʼur,,чӏантӏурал,чӏантӏурди,n,,255,0,0,Твёрдый продукт из свернувшегося молока.,1. Сыр делают из молока. 2. В сыр кладут соль.
493,СЫВОРОТКА,WHEY,гӏерцӏцӏи,ʕercʼːi,,гӏерцӏцӏил,-,n,,251,0,0,"Жидкость, которая остаётся после сворачивания и процеживания молока. Побочный продукт сыроварения.","Когда делают сыр, остаётся сыворотка."
494,МОЛОЗИВО,FOREMILK,цӏцӏери,cʼːeri,,цӏцӏерил,-,n,,252,0,0,"Секрет молочной железы млекопитающих, вырабатываемый в последние дни беременности и в первые дни после родов. [Wiki]",У коровы после родов бывает молозиво.
495,СМЕТАНА,SOUR CREAM,гӏелиссу,ʕelisːu,,гӏелиссул,гӏелиссубади (разные),n,,254,0,0,"Кисломолочный продукт из сливок и закваски; сливки, подвергшиеся брожению.",1. Я поел хлеб со сметаной. 2. Сметану делают из сливок.
496,СЛИВОЧНОЕ МАСЛО,BUTTER,щарил лӏорлӏи,šːaril ʟоrʟi,,щарил лӏорлӏилъил,щарилӏе лӏорлӏибади (сорта),n,,253,0,0,"Твёрдое, жирное вещество, производимое сбиванием молочных сливок. (Concepticon)",Масло взбивают из молока.
497,ВИНО,WINE,чагъир,čaʁir,,чагъирал,чагъирди,n,,0,0,0,"Алкогольный напиток, производимый в результате брожения виноградного сока.",Вино делают из винограда.
498,ХМЕЛЬНОЙ НАПИТОК,FERMENTED DRINK,чӏагӏа,čʼaʕa,,чӏагӏал,-,n,,262,0,0,Традиционный зерновой алкогольный напиток (своего рода домашнее пиво).,Из толокна делают бузу.
499,БРОДИТЬ (О ТЕСТЕ),FERMENT (OF DOUGH),чӏчӏаледу,čʼːardegu,чӏчӏарда эгу (чӏчӏардегу),чӏчӏали,чӏчӏалиби,v,,52,0,0,"Подвергаться процессу, в результате которого выделяются газы, кислоты и алкоголь. В быту, как правило, бродит либо тесто, либо алкоголь. Из-за универсальности дрожжевого теста лучше использовать глагол для него, однако, как правило, тот же глагол применяется и к алкогольным напиткам.",1. От дрожжей тесто забродило. 2. Буза забродила.
500,СВЕРТЫВАТЬСЯ (О МОЛОКЕ),"CURDLE (INTR, OF MILK)",бетитеду,betitidegu,бетитида эгу (бетитидегу),бетити,бетитиби,v,"бетити, ретити",53,0,0,(О молоке) Переходить из жидкого состояния в твёрдое под действием температуры или специальных химических веществ.,"1. В тёплом месте молоко свернулось. 2. Чтобы молоко свернулось, в него кладут сычуг."
501,ЯЙЦО,EGG,гьану,hanu,,гьанул,гьанаби,n,,260,39,23,"Яйцо (оплодотворённое или нет) домашних птиц, чаще всего кур, рассматриваемое в качестве еды. (CoBL) ‘Снести яйцо’ может быть синкретически выражено отдельным глаголом, что не подходит как элемент списка. (GLD)","1. Птицы несут яйца, а звери нет  2. Он взял в руку яйцо.  3. Ты ешь яйца?"
502,ЖЕЛТОК,EGG YOLK,"гӏачуб гьану, гьеруб гьану","ʕačub hanu, herub hanu",,"гӏачуб гьанул, гьеруб гьанул","гӏачуре гьанабал, гьеруре гьанабал",n,,0,0,0,"Жёлтая, сферичекая часть яйца, окружённая белком, служащая питанием для растущего птенца. (Concepticon)",1. Дай детям желток. 2. Яйцо состоит из желтка и белка.
503,НАДЕВАТЬ ПЛАТЬЕ,PUT ON (DRESS),башдеду,bašdidegu,башдида эгу (башдидегу),башди,башда,v,"бащди, ращди",143,0,0,"Надевать одежду, закрывающую верхнюю часть тела (рубашку, платье).",1. Я надел рубашку. 2. Она надела платье.
504,НАДЕВАТЬ ШТАНЫ,PUT ON (TROUSERS),башдеду,bašdidegu,башдида эгу (башдидегу),башди,башда,v,"бащди, ращди",144,0,0,Надевать одежду на ноги.,Я надел штаны.
505,НАДЕВАТЬ ШАПКУ,PUT ON (HAT),къапа билъеду,qʼapa biɬidegu,къапа билъида эгу (къапа билъидегу),къапа билъи,къапа билъа,v,"билъа, рилъа",145,0,0,Надевать головной убор.,Я надел на голову папаху.
506,СНИМАТЬ ПЛАТЬЕ,REMOVE (DRESS),горди бухъеду,gоrdi buqidegu,горди бухъида эгу (горди бухъидегу),горди бухъи,горди бухъа,v,"бухъи, рухъи",146,0,0,"Снимать одежду, закрывающую верхнюю часть тела (рубашку, платье).",1. Я снял рубашку. 2. Она сняла платье.
507,СНИМАТЬ ШТАНЫ,REMOVE (TROUSERS),шалпар бухъеду,šalpar buqidegu,шалпар бухъида эгу (шалпар бухъидегу),шалпар бухъи,шалпар бухъа,v,"вухъа, йихъа, бухъа, бухъа, рухъа",147,0,0,Снимать одежду с ног.,Я снял штаны.
508,СНИМАТЬ ШАПКУ,REMOVE (HAT),къапа бухъеду,qʼapa buqidegu,къапа бухъида эгу (къапа бухъидегу),къапа бухъи,къапа бухъа,v,"вухъа, йихъа, бухъа, бухъа, рухъа",148,0,0,Снимать головной убор,Я снял шапку.
509,ОДЕЖДА,CLOTHES,жила,žila,,жилал,-,n,,0,0,0,"Любые предметы, предназначенные для ношения на теле человека. (Concepticon)","1. Люди носят одежду, животные — нет. 2. У бедных плохая одежда."
510,"ТКАНЬ, СУКНО",FABRIC,ххан,χːan,,хханлъил,хханди,n,,0,0,0,"Тканая материя, используемая как материал для одежды.",Одежду делают из ткани.
511,ПРЯСТЬ,SPIN,дургъуледу,durʁuledegu,дургъуледа эгу (дургъуледегу),дургъули,дургъула,v,,126,0,0,"Делать одежду, вытягивая, изгибая и скручивая волокна ткани. (Concepticon)",Патимат спряла всю шерсть.
512,ВЕРЕТЕНО,SPINDLE,мингва,mingʷa,,мингвал,мингвабади,n,,310,0,0,"Палочка, используемая для того, чтобы закручивать волокна в нить. (Concepticon)",Шерсть наматывают на веретено.
513,ТКАЦКИЙ СТАНОК,LOOM,нижабади,nižabadi,,нижабадал (род. мн.),-,n,,311,0,0,"Традиционный станок там, где он использовался и где его имя известно.",
514,ШИТЬ,SEW,къинеду,qʼindegu,къинда эгу (къиндегу),къини,къина,v,,128,139,0,"Самый общий глагол для действия, состоящего в многократном пропускании нити сквозь ткань или материал с использованием иголки для того, чтобы соединить две или более части. (CoBL)",1. Пришей рукав к рубашке. 2. Зашей мешок толстой нитью. 3. Он сшил два куска ткани (CoBL).
515,КРОИТЬ,CUT OUT (CLOTH),белътеду,-eɬtudegu,белътуда эгу (белътудегу),белъту,белътва,v,мн.ч. - релъту,129,0,0,Вырезать часть ткани для изготовления одежды.,Она скроила куски полотна и сшила из них платье.
516,ИГЛА,NEEDLE,бежун,bežun,,бежунал,бежунди,n,,302,0,0,"Тонкий, острый инструмент, используемый для шитья.",Продень нитку в иголку.
517,СПИЦА,KNITTING NEEDLE,сасу,sasu,,сасул,сасубади,n,,303,0,0,"Длинная, не острая иголка, используемая для вязания.",Спицами вяжут шерстяную одежду.
518,ШИЛО,AWL,гьими,himi,,гьимил,гьимибади,n,,301,0,0,Острый инструмент для создания отверстий в ткани и коже. (Concepticon),Он проткнул кожу шилом.
519,НИТКА,THREAD,кору,kоru,,корул,кораби,n,,307,0,0,"Длинный, тонкий и гибкий кусок материала, как правило круглого сечения, используемый для шиться и пряжи. (Concepticon, изм.)",1. Ткань делают из ниток. 2. Продень нитку в иголку.
520,МОТОК НИТОК,SKEIN,къотӏулу,qʼоtʼulu,,къотӏулул,къотӏулди,n,,308,0,0,"Множество ниток, смотанных вместе в шар.",Он смотал нитки в моток.
521,НАПЕРСТОК,THIMBLE,цудалъил,cudaɬil,,цудалъиллъил,цудалъилди,n,,304,0,0,"Инструмент, надеваемый на палец, чтобы не уколоться во время вязания или шитья.","Чтобы не уколоться, надевают напёрсток."
522,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,WOOL COMB,гьакьу,haʟʼu,,гьакьул,"гьакьубади, гьакьаби",n,,309,0,0,"Гребень, которым расчёсывают шерсть.",Шерсть расчёсывают гребнем. - Мигьи хъундакӏа гьакьукӏин.
523,"ТУЛУП, ШУБА",FUR COAT,хъабарча,qabarča,,хъабарчул,хъабарчади,n,,267,0,0,Большая шуба с длинными рукавами.,Зимой надевают тулуп.
523,"ТУЛУП, ШУБА",FUR COAT,кӏячи,kʼʲači,,кӏячил,кӏячаби,n,,267,0,0,Большая шуба с длинными рукавами.,Зимой надевают тулуп.
524,БУРКА,SHEPHERD’S COAT,буртина,burtina,,буртинал,буртинди,n,,266,0,0,"Войлочный плащ, который используют пастухи и чабаны.",Чабан надел бурку.
525,ПЛАТЬЕ ЖЕНСКОЕ,WOMAN'S DRESS,хъабалу,qabalu,,хъабалул,хъабалуди,n,,0,0,0,"Женская одежда, сочетающая юбку и верхнюю часть в одном предмете. (Concepticon)","1. Женщины носят платья, мужчины — рубашки. 2. С платьем штаны не носят."
525,ПЛАТЬЕ ЖЕНСКОЕ,WOMAN'S DRESS,горди,gоrdi,,гордил,гордибади,n,,0,0,0,"Женская одежда, сочетающая юбку и верхнюю часть в одном предмете. (Concepticon)","1. Женщины носят платья, мужчины — рубашки. 2. С платьем штаны не носят."
526,РУБАШКА,SHIRT,горди,gоrdi,,гордил,гордибади,n,,264,0,0,"Предмет одежды, который носят на верхней части тела. Имеет длинные рукава, покрывающие руки, и пуговицы. (Concepticon, изм.)","1. Женщины носят платья, мужчины — рубашки. 2. Одежда мужчины — рубашка и штаны."
527,РУКАВ,SLEEVE,коххил,kоχːil,,коххилал,коххилди,n,,277,0,0,"Часть предмета одежды, покрывающая руку. (Concepticon)",У рубашки два рукава.
528,ШТАНЫ,TROUSERS,шалпар,šalpar,,шалпарул,шалпарди,n,,265,0,0,"Предмет одежды, который носят на нижней части тела. Закрывает обе ноги по отдельности, отдельными штанинами. (Concepticon)","1. Заправь рубашку в брюки. 2. На теле носят рубашку, на ногах — штаны."
529,НОСОК,SOCK,щата,šːata,,щатил,щатади,n,,279,0,0,"Мягкий предмет одежды, который носят на ступне и нижней части голени, под обувью. (Concepticon, изм.)",Под обувь надевают носки.
530,"ОБУВЬ, БОТИНОК",SHOE,хьита,xita,,хьитул,хьитаби,n,,0,0,0,"Наиболее общее слово для обозначения обуви (т.е. предметы, защищающие ступню, в противовес одежде).","Когда выходишь на улицу, надевай обувь."
531,САПОГ,BOOT,чакмел,čakmel,,чакмелул,чакмелди,n,,280,0,0,"Предмет обуви, закрывающий часть голени. (Concepticon)",По грязи нужно ходить в сапогах.
532,ГОЛЕНИЩЕ,BOOT-TOP,гьанищал,hanišːal,,гьанищаллъил,гьанищалди,n,,281,0,0,"Отдельный предмет, закрывающий голень (если он существует в культуре и для него есть слово).","Когда большой снег, чабаны надевают голенища."
533,ШАПКА,HEADDRESS,къапа,qʼapa,,къапул,къапиби,n,,268,0,0,"Наиболее общее слово для любого головного убора. Как правило, идентично слову для папахи, поэтому считается эквивалентным соответствующему термину из Кибрика-Кодзасова.",Шапка греет голову.
534,РЕМЕНЬ,BELT,рачвал,račʷal,,рачвалул,рачвалди,n,,274,0,0,"Полоска кожи или иного материала, носимая на поясе и поддерживающая брюки. Отделять от «ремешка», используемого в различных хозяйственных функциях.",В брюки вдевают ремень.
535,РЕМЕШОК,STRAP,рачвал,račʷal,,рачвалул,рачвалди,n,,273,0,0,"Маленькая полоска кожи или ткани, используемая в различных хозяйственных функциях, если для неё есть отдельное слово, отличное от 534 РЕМЕНЬ.","маленький ремень - мукӏуб рачвал, мукӏухӏубги рачвалул да"
536,РУКАВИЦА,MITTEN,кортӏаххил,kоrtʼaχːil,,кортӏаххиллъил,кортӏаххилди,n,,278,0,0,"Предмет одежды, надеваемый на кисти рук, покрывающий все пальцы вместе (не по отдельности) и доходящий как минимум до запястья.",Рукавицы греют руки.
537,ПЛАТОК ЖЕНСКИЙ,HEADSCARF,кӏази,kʼazi,,кӏазилул,кӏазаби,n,,269,0,0,"Кусок ткани, закрывающий волосы женщины. Обычно имеется несколько терминов для разных видов платков. Поскольку набор этих терминов и их дистрибуция культурно обусловлены, необходимо выбирать наименее маркированный термин для платка как женского головного убора в противовес шапке у мужчин.","1. Когда холодно, женщины надевают платок. 2. Мужчины носят шапки, женщины носят платки."
538,ЧУХТА,CHUKHTA,чоххду,čоχːdu,,чоххдул,"чоххдубади, чоххдаби",n,,270,0,0,"Нижний женский платок, надеваемый на голову ниже основного платка большего размера.",
539,КАРМАН,POCKET,чанта,čanta,,чантил,чантиби,n,рельа чантини эгу - рука в кармане,0,0,0,"Ёмкость, нашитая на предмет одежды и служащая для хранения предметов; как правило, достаточно объёмная для того, чтобы поместить в неё хотя бы одну руку. (Concepticon)",1. В штанах бывают карманы. 2. Вынь руки из карманов.
540,ПУГОВИЦА,BUTTON,кецӏири,kecʼiri,,кецӏирил,кецӏирди,n,,275,0,0,"Застёжка, состоящая из небольшого выступа или диска, которая вставляется в вырез в соседнем материале. (Concepticon)",Застегни пуговицы на рубашке.
541,ЗАСТЕЖКА,FASTENER,кяцӏу,kʲacʼu,,кяцӏул,кяцӏаби,n,,276,0,0,"Конструкция, состоящая из отверстия и продеваемой в него верёвки или иной полоски, фиксирующей одежду.",У женщин на тулупах бывают застёжки.
541,ЗАСТЕЖКА,FASTENER,гъармухъ,ʁarmuq,,гъармухъул,гъармухъиби,n,,276,0,0,"Конструкция, состоящая из отверстия и продеваемой в него верёвки или иной полоски, фиксирующей одежду.",У женщин на тулупах бывают застёжки.
542,КОЛЬЦО,RING,гьечӏищиб,hečʼišːib,,гьечӏищиблъил,гьечӏищибди,n,,271,0,0,"Круглый предмет из (ценного) металла, носимый вокруг пальца. (Concepticon)",1. Невесте дают кольцо. 2. Кольцо носят на пальце.
543,БРАСЛЕТ,BRACELET,курхьин,kurxin,,курхьинлъил,курхьинди,n,,272,0,0,"Ювелирный предмет, который носят вокруг запястья.",Женщины на руках носят браслеты.
544,ОЖЕРЕЛЬЕ,NECKLACE,хьухьин,xuxin,,хьухьинлъил,хухинди,n,,0,0,0,"Ювелирный предмет, который носят вокруг шеи.",Женщины на шее носят ожерелье.
545,БУСИНА,BEAD,маххи,maχːi,,маххилул,маххиди,n,,0,0,0,"Круглый блестящий предмет (любого происхождения), используемый как компонент ожерелья (бус).",Ожерелье делают из бусинок.
546,СЕРЕЖКА,EARRING,хӏара,ħara,,хӏарал,хӏариби,n,,0,0,0,"Ювелирное украшение, которое носят в ухе. (Concepticon)",У женщин в ушах бывают серьги.
547,ТАТУИРОВКА,TATTOO,сурат,surat,,суратул,суратиби,n,,0,0,0,"Рисунок, создаваемый на теле человека при помощи ввода чернил под кожу. В Дагестане татуировки традиционно наносились женщинам на руки.",Раньше женщинам на руках делали татуировки.
548,"РАСЧЕСКА, ГРЕБЕНЬ",COMB (N.),гьакьу,haʟʼu,,гьакьул,гьакьаби,n,,0,0,0,Предмет для расчёсывания волос.,Я причесал голову расчёской
549,ПРИЧЕСЫВАТЬ,COMB (V. TR.),гъабеду,ʁabdegu,гъабда эгу (гъабдегу),гъаби,гъаба,v,,140,0,0,Ухаживать за волосами при помощи расчёски или похожего объекта.,"1. Я причесал голову расчёской. 2. Был сильный ветер, причеши волосы."
550,КОСА ЖЕНСКАЯ,BRAID,гъонтӏа,ʁоntʼa,,гъонтӏул,гъонтӏиби,n,,75,0,0,"Женская причёска, состоящая из заплетённых вместе нескольких волос. Для одной большой косы и двух маленьких косичек могут быть разные термины. В этом случае следует выбирать слово, обозначающее именно одну большую косу у женщин.",Женщины плетут из волос две косички или одну косу.
551,ЧЁЛКА,FRINGE,катӏари,katʼari,,катӏарил,катӏарди,n,,0,0,0,"Пучок волос, свисающий на лоб.",
552,КОСЫ (ПАРА),BRAIDS (PAIR OF),гъонтӏиби,ʁоntʼibi,,,гъонтӏиби,n,,0,0,0,"См. 550 КОСА ЖЕНСКАЯ. В этом месте вводится слово для пары косичек, если оно существует.",
553,БРИТВА,RAZOR,далакбесун,dalakbesun,,далакбесунлъил,далакбесунди,n,,0,0,0,Острый инструмент для удаления волос с лица или тела. (Concepticon),Мужчины бреют бороду бритвой.
554,БРИТЬ,SHAVE,хханеду,χːandegu,хханда эгу (ххандегу),ххани,ххана,v,,142,0,0,"Срезать волосы вблизи кожи бритвой. (Concepticon) Вводить слово именно для полного удаления волос (на лице), не «подстригать».",1. Мужчины бреют бороду бритвой. 2. Ваххабиты сбривают усы. 3. Раньше мужчинам брили волосы на голове.
555,СТРИЧЬ,CUT (HAIR),къеледу,qʼerdegu,къерда эгу (къердегу),къели,къела,v,,141,0,0,Укорачивать длину волос ножницами.,
556,МЫЛО,SOAP,сапун,sapun,,сапунал,сапунди,n,,0,0,0,"Твёрдый предмет, пенящийся при контакте с водой и используемый для мытья рук.",Руки надо мыть с мылом.
557,ЗЕРКАЛО,MIRROR,матӏу,matʼu,,матӏул,матӏаби,n,сипат матӏуни бердегу - отражение в зеркале,356,0,0,"Гладкая поверхность, отражащая предметы, находящиеся напротив.","Когда бреются, смотрят в зеркало."
558,ДОМ,HOUSE,гьандир,handir,,гьандирал,гьандирди,n,гьандирени чув эгув? - кто в доме (кто дома),371,214,0,"Отдельно стоящее здание, используемое для жилья человека. Иногда КОМНАТА и ДОМ выражаются одним термином, при этом либо существует отдельное слово в значении собственно ДОМ, либо для обозначения ДОМа используется мн.ч. слова КОМНАТА/ДОМ. В этом случае надо указывать именно термин для собственно ДОМа, т.к. в словаре есть отдельный вход для термина КОМНАТА.",1. Этот дом был построен моим дедом. 2. В нашем доме три комнаты.
558,ДОМ,HOUSE,авал,awal,,аваллъил,авалди,n,аваллъини чув эгув? - кто в доме (кто дома),371,214,0,"Отдельно стоящее здание, используемое для жилья человека. Иногда КОМНАТА и ДОМ выражаются одним термином, при этом либо существует отдельное слово в значении собственно ДОМ, либо для обозначения ДОМа используется мн.ч. слова КОМНАТА/ДОМ. В этом случае надо указывать именно термин для собственно ДОМа, т.к. в словаре есть отдельный вход для термина КОМНАТА.",1. Этот дом был построен моим дедом. 2. В нашем доме три комнаты.
558,ДОМ,HOUSE,миса,misa,,мисул,мисалди,n,мисуни чув эгув? - кто в доме (кто дома),371,214,0,"Отдельно стоящее здание, используемое для жилья человека. Иногда КОМНАТА и ДОМ выражаются одним термином, при этом либо существует отдельное слово в значении собственно ДОМ, либо для обозначения ДОМа используется мн.ч. слова КОМНАТА/ДОМ. В этом случае надо указывать именно термин для собственно ДОМа, т.к. в словаре есть отдельный вход для термина КОМНАТА.",1. Этот дом был построен моим дедом. 2. В нашем доме три комнаты.
559,РАЗВАЛИНА,RUINS,чӏоди,čʼоdi,,чӏодилул,чӏодаби,n,,402,0,0,Разрушенное здание.,Селение превратилось в развалины.
560,ДВОР,YARD,ригьи,rihi,,ригьилул,ригьибади,n,ригьини - во дворе,0,0,0,"Область, примыкающая к дому и огороженная забором.","1. Хорошая женщина ежедневно убирает двор дома. 2. Чтобы войти во двор, нужно открыть ворота."
561,ГОДЕКАН,MEETING AREA,кагьу,kahu,,кагьул,кагьубади,n,кагьула - на годекане,0,0,0,"Центральная площадь селения, на котором собираются мужчины для обсуждения общественно значимых вопросов.",В каждом селении старики собираются на годекане.
561,ГОДЕКАН,MEETING AREA,годекӏан,gоdekʼan,,годекӏанлъил,годекӏанди,n,годекӏанлъила - на годекане,0,0,0,"Центральная площадь селения, на котором собираются мужчины для обсуждения общественно значимых вопросов.",В каждом селении старики собираются на годекане.
562,КОМНАТА,ROOM,миса,misa,,мисул,мисалди,n,вудив мисуни эгу - он в комнате,0,0,0,"Отдельная часть здания, отделённая от других стенами, полом и потолком. (Concepticon)",В нашем доме три комнаты.
563,ДВЕРЬ,DOOR,гьинцӏу,hincʼu,,гьинцӏул,гьинцӏаби,n,,386,0,0,"Твёрдая структура, как правило, из дерева, закрывающая собой проход внутрь дома.",1. В каждом доме бывает дверь. 2. Он постучал в дверь.
564,ВОРОТА,GATE,каву,kawu,,кавул,кавубади,n,,0,0,0,"Структура, как правило, двойная, закрывающая собой проход внутрь огороженного пространства на улице.",Во двор входят через ворота.
565,ДВЕРНОЙ КОСЯК,DOORPOST,гӏазалӏу,ʕazaʟu,,гӏазалӏул,гӏазалӏуди,n,,0,0,0,"Структура, в которую вписана дверь; дверная коробка.","Из-за того, что искривился косяк, дверь плохо закрывается."
566,ЗАМОК,LOCK (N.),рахе,raχe,,рахел,рахебади,n,,387,0,0,"Предмет, используемый для запирания двери; может быть открыт только ключом.",1. Вор сорвал замок. 2. Мурад повесил замок на дверь сарая.
567,ЗАСОВ,DOOR-BOLT,кӏиликӏичӏ,kʼilikʼičʼ,,кӏиликӏичӏлъил,кӏиликӏичӏди,n,,0,0,0,"Механизм, состоящий из металлической полоски, которая вставляется с отверстие, препятствуя открыванию двери.","Замок открывают ключом, засов открывают рукой."
568,КЛЮЧ,KEY,рекӏул,rekʼul,,рекӏулал,рекӏулди,n,,388,0,0,Механизм для отпирания и запирания замка. (Concepticon),"1. У меня нет ключа от двери, я не могу войти. 2. Замок открывают ключом, засов открывают рукой."
569,ОКНО,WINDOW,гьингур,hingur,,гьингурал,гьингурди,n,,375,0,0,"Отверстие в стене, покрытое стеклом и служащее для притока света и воздуха.",Свет в комнату поступает из окна.
570,ПОЛ (ЗЕМЛЯНОЙ),FLOOR,чӏабар,čʼabar,,чӏабарил,чӏабарди,n,,373,0,0,Нижняя поверхность помещения. В дагестанском контексте следует указывать именно традиционный земляной пол.,В селении полы бывают земляными.
571,ПОТОЛОК,CEILING,мукъищда,muqʼišːda,,мукъищдал,мукъищдабади,n,,383,0,0,"Структура, закрывающая верх комнаты.",Потолок делают из брёвен.
572,СТЕНА,WALL,къин,qʼin,,къинлъил,къиндалди,n,,374,0,0,"Внешняя структура, окружающая здание по периметру.",1. На стене висит картина. 2. У дома четыре стены
573,ФУНДАМЕНТ,FOUNDATION,кьучӏ,ʟʼučʼ,,кьучӏлъил,кьучӏди,n,,372,0,0,"Основание, врытое в землю, на котором стоит дом.",1. Дом стоит на фундаменте. 2. Фундамент делают из камня.
574,ОЧАГ,FIREPLACE,тахон,taχоn,,тахонул,тахонди,n,тахонуни цӏцӏе эгу - огонь в очаге,384,0,0,"Открытое углубление в стене у основания дымохода, в котором можно разжечь огонь. (Concepticon)",В очаге всегда горит огонь.
575,ПЕЧЬ ГЛИНЯНАЯ ДЛЯ ХЛЕБА,CLAY STOVE FOR BREAD,кор,kоr,,корлъил,корди,n,,385,0,0,"Традиционная печь, используемая для выпекания хлеба.",Хлеб пекли в печи.
576,"ДЫМОХОД, ТРУБА",CHIMNEY,кӏкӏунал кяртӏи,kʼːunal kʲartʼi,,кӏкӏунал кяртӏилъил,кӏкӏуналӏе кяртӏаби,n,,0,0,0,"Каменная труба, выводящая дым из помещения наружу.",Дым идёт из трубы.
576,"ДЫМОХОД, ТРУБА",CHIMNEY,мащу,mašːu,,мащул,мащаби,n,кӏкӏуйН къотӏи муалӏе мащухъиба - дым выходит через трубу,0,0,0,"Каменная труба, выводящая дым из помещения наружу.",Дым идёт из трубы.
